pfam_accession,pfam_name,num_proteins
PF00834,Ribul_P_3_epim,3
PF01026,TatD_DNase,3
PF01035,DNA_binding_1,3
PF01066,CDP-OH_P_transf,3
PF01272,GreA_GreB,3
PF01300,Sua5_yciO_yrdC,3
PF01406,tRNA-synt_1e,3
PF01409,tRNA-synt_2d,3
PF01554,MatE,3
PF01588,tRNA_bind,3
PF01648,ACPS,3
PF02142,MGS,3
PF02390,Methyltransf_4,3
PF02540,NAD_synthase,3
PF02774,Semialdhyde_dhC,3
PF02780,Transketolase_C,3
PF02811,PHP,3
PF02824,TGS,3
PF02878,PGM_PMM_I,3
PF02879,PGM_PMM_II,3
PF02880,PGM_PMM_III,3
PF03129,HGTP_anticodon,3
PF03372,Exo_endo_phos,3
PF03477,ATP-cone,3
PF04539,Sigma70_r3,3
PF04760,IF2_N,3
PF05193,Peptidase_M16_C,3
PF05496,RuvB_N,3
PF05958,tRNA_U5-meth_tr,3
PF08264,Anticodon_1,3
PF11987,IF-2,3
PF12704,MacB_PCD,3
PF13177,DNA_pol3_delta2,3
PF13291,ACT_4,3
PF13522,GATase_6,3
PF13541,ChlI,3
PF13603,tRNA-synt_1_2,3
PF17871,AAA_lid_9,3
PF00044,Gp_dh_N,2
PF00120,Gln-synt_C,2
PF00160,Pro_isomerase,2
PF00204,DNA_gyraseB,2
PF00275,EPSP_synthase,2
PF00348,polyprenyl_synt,2
PF00436,SSB,2
PF00448,SRP54,2
PF00467,KOW,2
PF00478,IMPDH,2
PF00521,DNA_topoisoIV,2
PF00574,CLP_protease,2
PF00579,tRNA-synt_1b,2
PF00590,TP_methylase,2
PF00682,HMGL-like,2
PF00809,Pterin_bind,2
PF00814,TsaD,2
PF00817,IMS,2
PF00842,Ala_racemase_C,2
PF00953,Glycos_transf_4,2
PF00986,DNA_gyraseB_C,2
PF01029,NusB,2
PF01039,Carboxyl_trans,2
PF01063,Aminotran_4,2
PF01098,FTSW_RODA_SPOVE,2
PF01131,Topoisom_bac,2
PF01132,EFP,2
PF01138,RNase_PH,2
PF01148,CTP_transf_1,2
PF01171,ATP_bind_3,2
PF01177,Asp_Glu_race,2
PF01180,DHO_dh,2
PF01189,Methyltr_RsmB-F,2
PF01197,Ribosomal_L31,2
PF01210,NAD_Gly3P_dh_N,2
PF01230,HIT,2
PF01367,5_3_exonuc,2
PF01513,NAD_kinase,2
PF01541,GIY-YIG,2
PF01545,Cation_efflux,2
PF01556,DnaJ_C,2
PF01595,CNNM,2
PF01653,DNA_ligase_aden,2
PF01709,Transcrip_reg,2
PF01743,PolyA_pol,2
PF01820,Dala_Dala_lig_N,2
PF02151,UVR,2
PF02195,ParB_N,2
PF02272,DHHA1,2
PF02357,NusG,2
PF02367,TsaE,2
PF02441,Flavoprotein,2
PF02482,Ribosomal_S30AE,2
PF02562,PhoH,2
PF02739,5_3_exonuc_N,2
PF02784,Orn_Arg_deC_N,2
PF02800,Gp_dh_C,2
PF02801,Ketoacyl-synt_C,2
PF02861,Clp_N,2
PF02867,Ribonuc_red_lgC,2
PF02874,ATP-synt_ab_N,2
PF02881,SRP54_N,2
PF02911,Formyl_trans_C,2
PF03054,tRNA_Me_trans,2
PF03099,BPL_LplA_LipB,2
PF03120,OB_DNA_ligase,2
PF03143,GTP_EFTU_D3,2
PF03167,UDG,2
PF03449,GreA_GreB_N,2
PF03462,PCRF,2
PF03717,PBP_dimer,2
PF03725,RNase_PH_C,2
PF03796,DnaB_C,2
