pfam_accession,pfam_name,num_proteins
PF13393,tRNA-synt_His,1
PF13507,GATase_5,1
PF13742,tRNA_anti_2,1
PF13793,Pribosyltran_N,1
PF14492,EFG_III,1
PF14572,Pribosyl_synth,1
PF14579,HHH_6,1
PF14622,Ribonucleas_3_3,1
PF14714,KH_dom-like,1
PF14748,P5CR_dimer,1
PF16193,AAA_assoc_2,1
PF16320,Ribosomal_L12_N,1
PF17136,ribosomal_L24,1
PF17657,DNA_pol3_finger,1
PF17755,UvrA_DNA-bind,1
PF17759,tRNA_synthFbeta,1
PF17760,UvrA_inter,1
PF17764,PriA_3primeBD,1
PF17854,FtsK_alpha,1
PF17862,AAA_lid_3,1
PF17864,AAA_lid_4,1
PF18072,FGAR-AT_linker,1
